,LV bus,Prosumer 1,Prosumer 2,MV bus
0,-2.6335871767647183,-2.6387074420332195,-2.6387074420332195,-2.2667604577441524e-05
1,-2.6399634582759317,-2.6472043687832776,-2.6472043687832776,-3.1528756050217034e-05
2,-2.6180402864062815,-2.6180406274987047,-2.6180406274987047,-3.687050883526577e-07
3,-2.6273038007781966,-2.630346370874461,-2.630346370874461,-1.3772298197988235e-05
4,-2.6241950745590943,-2.6262139923315866,-2.6262139923315866,-9.312334819769678e-06
