start_time,end_time,price,volume,node,block_id,link,exclusive_id,bid_id,unit_id,accepted_volume,accepted_price,market_id,bid_type,simulation
2023-01-13 04:00:00,2023-01-13 04:15:00,3000,-0.005,node0,,,,demand_unit_0_4,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 04:15:00,2023-01-13 04:30:00,3000,-0.005,node0,,,,demand_unit_0_5,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 04:30:00,2023-01-13 04:45:00,3000,-0.005,node0,,,,demand_unit_0_6,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 04:45:00,2023-01-13 05:00:00,3000,-0.005,node0,,,,demand_unit_0_7,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 05:00:00,2023-01-13 05:15:00,3000,-0.005,node0,,,,demand_unit_0_8,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 05:30:00,2023-01-13 05:45:00,3000,-0.005,node0,,,,demand_unit_0_9,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 05:45:00,2023-01-13 06:00:00,3000,-0.005,node0,,,,demand_unit_0_10,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 06:00:00,2023-01-13 06:15:00,3000,-0.005,node0,,,,demand_unit_0_11,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 06:15:00,2023-01-13 06:30:00,3000,-0.005,node0,,,,demand_unit_0_12,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 07:00:00,2023-01-13 07:15:00,3000,-0.005,node0,,,,demand_unit_0_13,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 07:30:00,2023-01-13 07:45:00,3000,-0.005,node0,,,,demand_unit_0_14,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 08:00:00,2023-01-13 08:15:00,3000,-0.005,node0,,,,demand_unit_0_15,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 05:15:00,2023-01-13 05:30:00,3000,-0.005,node0,,,,demand_unit_1_1,demand_unit_1,0,1.5,EOM,,world_script_simulation
2023-01-13 06:30:00,2023-01-13 06:45:00,3000,-0.005,node0,,,,demand_unit_1_2,demand_unit_1,0,1.5,EOM,,world_script_simulation
2023-01-13 06:45:00,2023-01-13 07:00:00,3000,-0.005,node0,,,,demand_unit_1_3,demand_unit_1,0,1.5,EOM,,world_script_simulation
2023-01-13 07:15:00,2023-01-13 07:30:00,3000,-0.005,node0,,,,demand_unit_1_4,demand_unit_1,0,1.5,EOM,,world_script_simulation
2023-01-13 07:45:00,2023-01-13 08:00:00,3000,-0.005,node0,,,,demand_unit_1_5,demand_unit_1,0,1.5,EOM,,world_script_simulation
2023-01-13 09:15:00,2023-01-13 09:30:00,3000,-0.01,node0,,,,demand_unit_0_15,demand_unit_0,-0.01,1.5,EOM,,world_script_simulation
2023-01-13 09:30:00,2023-01-13 09:45:00,3000,-0.01,node0,,,,demand_unit_0_16,demand_unit_0,-0.01,1.5,EOM,,world_script_simulation
2023-01-13 09:45:00,2023-01-13 10:00:00,3000,-0.01,node0,,,,demand_unit_0_17,demand_unit_0,-0.005,1.5,EOM,,world_script_simulation
2023-01-13 10:00:00,2023-01-13 10:15:00,3000,-0.01,node0,,,,demand_unit_0_18,demand_unit_0,-0.01,1.5,EOM,,world_script_simulation
2023-01-13 09:15:00,2023-01-13 09:30:00,3000,-0.01,node0,,,,demand_unit_1_7,demand_unit_1,-0.005,1.5,EOM,,world_script_simulation
2023-01-13 09:30:00,2023-01-13 09:45:00,3000,-0.01,node0,,,,demand_unit_1_8,demand_unit_1,-0.005,1.5,EOM,,world_script_simulation
2023-01-13 09:45:00,2023-01-13 10:00:00,3000,-0.01,node0,,,,demand_unit_1_9,demand_unit_1,-0.01,1.5,EOM,,world_script_simulation
2023-01-13 10:00:00,2023-01-13 10:15:00,3000,-0.01,node0,,,,demand_unit_1_10,demand_unit_1,-0.005,1.5,EOM,,world_script_simulation
2023-01-13 09:15:00,2023-01-13 09:30:00,1.5,0.015,node0,,,,nucular_unit_0_1,nucular_unit_0,0.015,1.5,EOM,,world_script_simulation
2023-01-13 09:30:00,2023-01-13 09:45:00,1.5,0.015,node0,,,,nucular_unit_0_2,nucular_unit_0,0.015,1.5,EOM,,world_script_simulation
2023-01-13 09:45:00,2023-01-13 10:00:00,1.5,0.015,node0,,,,nucular_unit_0_3,nucular_unit_0,0.015,1.5,EOM,,world_script_simulation
2023-01-13 10:00:00,2023-01-13 10:15:00,1.5,0.015,node0,,,,nucular_unit_0_4,nucular_unit_0,0.015,1.5,EOM,,world_script_simulation
2023-01-13 04:15:00,2023-01-13 04:30:00,3000,-0.005,node0,,,,demand_unit_0_1,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 04:30:00,2023-01-13 04:45:00,3000,-0.005,node0,,,,demand_unit_0_2,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 04:45:00,2023-01-13 05:00:00,3000,-0.005,node0,,,,demand_unit_0_3,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 05:00:00,2023-01-13 05:15:00,3000,-0.005,node0,,,,demand_unit_0_4,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 05:30:00,2023-01-13 05:45:00,3000,-0.005,node0,,,,demand_unit_0_5,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 05:45:00,2023-01-13 06:00:00,3000,-0.005,node0,,,,demand_unit_0_6,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 06:00:00,2023-01-13 06:15:00,3000,-0.005,node0,,,,demand_unit_0_7,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 06:15:00,2023-01-13 06:30:00,3000,-0.005,node0,,,,demand_unit_0_8,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 07:00:00,2023-01-13 07:15:00,3000,-0.005,node0,,,,demand_unit_0_9,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 07:30:00,2023-01-13 07:45:00,3000,-0.005,node0,,,,demand_unit_0_10,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 08:00:00,2023-01-13 08:15:00,3000,-0.005,node0,,,,demand_unit_0_11,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 08:30:00,2023-01-13 08:45:00,3000,-0.005,node0,,,,demand_unit_0_12,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 08:45:00,2023-01-13 09:00:00,3000,-0.005,node0,,,,demand_unit_0_13,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 09:00:00,2023-01-13 09:15:00,3000,-0.005,node0,,,,demand_unit_0_14,demand_unit_0,0,1.5,EOM,,world_script_simulation
2023-01-13 05:15:00,2023-01-13 05:30:00,3000,-0.005,node0,,,,demand_unit_1_1,demand_unit_1,0,1.5,EOM,,world_script_simulation
